,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
2,JS SDK开发（合肥）,神策网络科技（北京）有限公司,10k-20k,合肥,50-150人,不限,本科,数据服务,2018-03-13
3,js前端开发工程师,深圳市有信网络技术有限公司,10k-16k,北京,150-500人,1-3年,本科,移动互联网,2018-03-12
4,全栈JS开发工程师,北京缔联科技有限公司,12k-18k,北京,15-50人,3-5年,本科,企业服务,2018-02-27
5,前端JS开发工程师,上海微创软件股份有限公司北京分公司,10k-13k,北京,2000人以上,1-3年,本科,"移动互联网,电子商务",2018-03-13
6,js前端开发工程师,深圳市致远优学教育科技有限公司,8k-12k,成都,500-2000人,3-5年,本科,移动互联网,2018-03-09
7,Cocos2d-JS游戏开发工程师,北京杰迈科技股份有限公司,20k-30k,北京,150-500人,3-5年,本科,"数据服务,企业服务",2018-02-23
8,cocos2dx-JS游戏开发工程师,深圳窝窝网络科技有限公司,15k-30k,深圳,15-50人,1-3年,本科,"游戏,移动互联网",2018-03-05
9,JS前端开发工程师,武汉佰钧成技术有限责任公司,8k-14k,西安,2000人以上,3-5年,本科,移动互联网,2018-03-01
10,KunLun-web前端js研发工程师,成都数联铭品科技有限公司,10k-20k,成都,150-500人,不限,不限,"电子商务,数据服务",2018-03-12
11,JavaScript前端开发工程师,深圳点猫科技有限公司,8k-16k,深圳,150-500人,不限,本科,"移动互联网,教育",2018-03-13
12,JavaScript前端开发工程师,金华秀吧信息科技有限公司北京分公司,15k-25k,北京,50-150人,3-5年,大专,"社交网络,文化娱乐",2018-03-13
13,JS全栈开发工程师,北京爱和健康科技有限公司,15k-25k,北京,150-500人,1-3年,本科,"移动互联网,医疗健康",2018-03-02
14,前端JS工程师,北京轻松筹网络科技有限公司,20k-35k,北京,150-500人,3-5年,大专,"移动互联网,金融",2018-03-13
0,前端JavaScript高级工程师,北京爱奇艺科技有限公司,18k-35k,北京,2000人以上,3-5年,本科,"广告营销,文化娱乐",2018-02-26
1,前端JS开发工程师,上海微创软件股份有限公司北京分公司,10k-14k,北京,2000人以上,1-3年,本科,"移动互联网,电子商务",2018-03-13
2,Cocos Creator(js)工程师,成都炎灵科技有限公司,6k-12k,成都,少于15人,1-3年,不限,"移动互联网,游戏",2018-03-12
3,javascript前后端软件开发工程师,上海迹客科技,5k-8k,郑州,15-50人,1-3年,本科,"移动互联网,企业服务",2018-03-12
4,JavaScript全栈工程师,郑州脉冲软件科技有限公司,7k-12k,郑州,15-50人,3-5年,不限,"移动互联网,企业服务",2018-03-13
5,JavaScript Reactjs 开发,上海岚智网络科技有限公司,7k-14k,上海,15-50人,1-3年,本科,"移动互联网,电子商务",2018-03-12
6,Javascript 前端开发工程师,北京凤凰理理它信息技术有限公司,15k-25k,北京,150-500人,3-5年,本科,金融,2018-03-13
7,js全栈工程师,上海沙湖信息科技有限公司,13k-25k,上海,15-50人,3-5年,本科,"数据服务,硬件",2018-03-12
8,javascript开发工程师（爬虫方向）,哦加哦网络科技（上海）有限公司,15k-30k,上海,500-2000人,1-3年,本科,"移动互联网,其他",2018-03-13
9,高级Javascript工程师（爬虫相关）,广州通游宝信息科技有限公司,12k-24k,广州,15-50人,3-5年,大专,电子商务,2018-03-12
10,前端架构师（JS),中企动力科技股份有限公司,25k-50k,北京,2000人以上,5-10年,大专,"电子商务,移动互联网",2018-03-12
11,Js高级前端开发工程师（本科，3+年开发经验）,北京简单科技有限公司,15k-25k,北京,150-500人,3-5年,本科,"移动互联网,教育",2018-03-12
12,NODE JS 前端工程师,深圳前海用友力合金融服务有限公司,10k-20k,深圳,500-2000人,1-3年,本科,金融,2018-03-13
13,Javascript全栈开发工程师,北京小砖科技有限公司,20K-30K,北京,少于15人,1-3年,本科,"数据服务,移动互联网",2018-03-09
14,前端开发工程师JS方向,麦可视觉设计,6k-8k,广州,少于15人,3-5年,不限,其他,2018-03-12
0,Node. Js前端开发工程师,东盛华达（武汉）企业管理咨询有限公司,18k-36k,北京,150-500人,3-5年,本科,"移动互联网,电子商务",2018-03-12
1,JS全栈工程师,湖南省我来信息科技有限公司,10k-15k,长沙,15-50人,3-5年,本科,"移动互联网,教育",2018-03-13
2,高级前端开发（JS方向）,北京微吼时代科技有限公司,15k-30k,北京,150-500人,5-10年,本科,"移动互联网,数据服务",2018-03-12
3,前端研发工程师(JS),北京简道致远科技有限公司,15K-25K,北京,15-50人,1-3年,本科,移动互联网,2018-03-12
4,高级js前端工程师,北京寻宝天行网络技术有限公司,15k-25k,北京,50-150人,3-5年,本科,电子商务,2018-03-13
5,JavaScript 全栈工程师,杭州惠借科技有限公司,15k-30k,杭州,50-150人,3-5年,本科,移动互联网,2018-03-04
6,中级 JavaScript 前台开发工程师,天津傲飞物联科技有限公司,5k-8k,天津,少于15人,3-5年,大专,"其他,数据服务",2018-02-22
7,NODE JS 前端高级工程师,深圳前海用友力合金融服务有限公司,15k-30k,深圳,500-2000人,5-10年,本科,金融,2018-03-13
8,Lead JavaScript Engineer,亿磐系统（深圳）有限公司,20k-35k,深圳,2000人以上,5-10年,本科,企业服务,2018-03-01
9,Javascript全栈工程师,北京频果市场营销策划有限公司,25k-40k,北京,15-50人,3-5年,本科,"移动互联网,电子商务",2018-03-13
10,高级web/js前端,北京桉桉投资管理有限公司,20k-40k,北京,少于15人,5-10年,本科,金融,2018-03-13
