,positionName,companyFullName,salary,city,companySize,workYear,education,industryField,formatCreateTime
12,Python开发工程师,成都开贝影擎科技有限公司,6k-8k,成都,15-50人,1-3年,大专,"企业服务,生活服务",2018-03-09
13,Python django 开发工程师,成都亚然科技中心,5k-8k,成都,15-50人,1-3年,大专,移动互联网,2018-03-09
14,高级Python工程师,深圳浩瀚星际网络科技有限公司,15k-30k,深圳,15-50人,3-5年,本科,"移动互联网,广告营销",2018-03-08
0,python运维开发工程师,上海易贷网金融信息服务有限公司四川分公司,8K-15K,成都,150-500人,3-5年,大专,"移动互联网,金融",2018-03-13
1,python后台开发工程师,深圳市观麦网络科技有限公司,8k-16k,深圳,150-500人,1-3年,本科,"电子商务,O2O",2018-03-13
2,Python开发工程师,易企飞（北京）人力资源科技有限公司,13k-25k,北京,50-150人,3-5年,本科,企业服务,2018-03-12
3,python web开发工程师,北京中铁信科技有限公司,15k-30k,北京,50-150人,不限,本科,其他,2018-03-10
4,Python开发工程师,人人贷商务顾问（北京）有限公司,8k-16k,北京,500-2000人,1-3年,本科,金融,2018-03-12
5,高级开发工程师-Python/Java/Go,京东金融,25k-45k,北京,2000人以上,5-10年,本科,金融,2018-03-09
6,Python,北京犀牛瀚海科技有限责任公司,25K-50K,北京,15-50人,不限,本科,"移动互联网,医疗健康",2018-03-08
7,Python开发工程师,上海一起作业信息科技有限公司,15k-30k,北京,500-2000人,1-3年,本科,"移动互联网,教育",2018-03-13
8,高级Python后端开发工程师,深圳狗尾草智能科技有限公司,20k-40k,深圳,150-500人,5-10年,本科,"移动互联网,O2O",2018-03-08
9,python讲师,八维宏烨(上海)信息科技有限公司,20k-30k,上海,150-500人,3-5年,本科,"移动互联网,教育",2018-03-13
10,Python讲师,北京千锋互联科技有限公司,15k-30k,深圳,500-2000人,3-5年,大专,移动互联网,2018-03-13
11,高级python研发工程师：,北京大狼科技有限公司,20k-35k,北京,少于15人,3-5年,本科,"硬件,移动互联网",2018-03-05
12,Python工程师,原子链（北京）科技有限公司,15K-30K,北京,15-50人,3-5年,本科,"移动互联网,金融",2018-02-21
